Date_Time,PredictPower
2024/6/16 21:15,22.7519
2024/6/16 21:30,22.2451
2024/6/16 21:45,21.7636
2024/6/16 22:00,21.2362
2024/6/16 22:15,20.6102
2024/6/16 22:30,19.9151
2024/6/16 22:45,19.2105
2024/6/16 23:00,18.5045
2024/6/16 23:15,17.7514
2024/6/16 23:30,16.9552
2024/6/16 23:45,16.1119
2024/6/17 0:00,0
2024/6/17 0:15,2.72782
2024/6/17 0:30,2.38382
2024/6/17 0:45,2.05015
2024/6/17 1:00,1.7639
2024/6/17 1:15,1.53992
2024/6/17 1:30,1.22824
2024/6/17 1:45,1.00335
2024/6/17 2:00,0.86526
2024/6/17 2:15,0.83718
2024/6/17 2:30,0.93012
2024/6/17 2:45,1.02275
2024/6/17 3:00,0
2024/6/17 3:15,1.06314
2024/6/17 3:30,1.04886
2024/6/17 3:45,1.00433
2024/6/17 4:00,0.97186
2024/6/17 4:15,0.92691
2024/6/17 4:30,0.89494
2024/6/17 4:45,0.85906
2024/6/17 5:00,0.81453
2024/6/17 5:15,0.78182
2024/6/17 5:30,0.74666
2024/6/17 5:45,0.74666
2024/6/17 6:00,0
2024/6/17 6:15,0
2024/6/17 6:30,0
2024/6/17 6:45,0
2024/6/17 7:00,0
2024/6/17 7:15,0
2024/6/17 7:30,0
2024/6/17 7:45,0
2024/6/17 8:00,0
2024/6/17 8:15,0
2024/6/17 8:30,0
2024/6/17 8:45,0
2024/6/17 9:00,2.09512
2024/6/17 9:15,2.41979
2024/6/17 9:30,2.78994
2024/6/17 9:45,3.18275
2024/6/17 10:00,3.59821
2024/6/17 10:15,4.03646
2024/6/17 10:30,4.52576
2024/6/17 10:45,5.03926
2024/6/17 11:00,5.55276
2024/6/17 11:15,6.06608
2024/6/17 11:30,6.6036
2024/6/17 11:45,7.12801
2024/6/17 12:00,7.61938
2024/6/17 12:15,8.04395
2024/6/17 12:30,8.37823
2024/6/17 12:45,8.68464
2024/6/17 13:00,8.9408
2024/6/17 13:15,9.04249
2024/6/17 13:30,9.0725
2024/6/17 13:45,9.1585
2024/6/17 14:00,9.17902
2024/6/17 14:15,9.13113
2024/6/17 14:30,9.01868
2024/6/17 14:45,8.98427
2024/6/17 15:00,8.87505
2024/6/17 15:15,8.69096
2024/6/17 15:30,8.42985
2024/6/17 15:45,8.09243
2024/6/17 16:00,7.70093
2024/6/17 16:15,7.26509
2024/6/17 16:30,6.73891
2024/6/17 16:45,6.20156
2024/6/17 17:00,5.66422
2024/6/17 17:15,5.12688
2024/6/17 17:30,4.61406
2024/6/17 17:45,4.07689
2024/6/17 18:00,3.61547
2024/6/17 18:15,3.26413
2024/6/17 18:30,3.03118
2024/6/17 18:45,2.89726
2024/6/17 19:00,0
2024/6/17 19:15,0
2024/6/17 19:30,0
2024/6/17 19:45,0
2024/6/17 20:00,0
2024/6/17 20:15,3.1885
2024/6/17 20:30,3.46481
2024/6/17 20:45,3.79342
2024/6/17 21:00,4.20107
2024/6/17 21:15,4.62878
2024/6/17 21:30,5.123
2024/6/17 21:45,5.62872
2024/6/17 22:00,6.08183
2024/6/17 22:15,6.51191
2024/6/17 22:30,6.9423
2024/6/17 22:45,7.37286
2024/6/17 23:00,7.8284
2024/6/17 23:15,8.3058
2024/6/17 23:30,8.81271
2024/6/17 23:45,9.36892
2024/6/18 0:00,18.9144
2024/6/18 0:15,18.9537
2024/6/18 0:30,18.9611
2024/6/18 0:45,18.8965
2024/6/18 1:00,18.7844
2024/6/18 1:15,18.6317
2024/6/18 1:30,18.4776
2024/6/18 1:45,18.3229
2024/6/18 2:00,18.167
2024/6/18 2:15,18.0501
2024/6/18 2:30,17.9727
2024/6/18 2:45,17.8539
2024/6/18 3:00,17.8137
2024/6/18 3:15,17.7713
2024/6/18 3:30,17.7268
2024/6/18 3:45,17.6809
2024/6/18 4:00,17.7124
2024/6/18 4:15,17.7742
2024/6/18 4:30,17.8736
2024/6/18 4:45,18.0102
2024/6/18 5:00,18.0275
2024/6/18 5:15,17.8584
2024/6/18 5:30,17.4387
2024/6/18 5:45,16.8669
2024/6/18 6:00,16.2998
2024/6/18 6:15,15.6654
2024/6/18 6:30,14.9911
2024/6/18 6:45,14.2496
2024/6/18 7:00,13.5078
2024/6/18 7:15,12.7396
2024/6/18 7:30,11.9048
2024/6/18 7:45,11.0835
2024/6/18 8:00,10.2893
2024/6/18 8:15,9.56276
2024/6/18 8:30,8.90328
2024/6/18 8:45,8.33695
2024/6/18 9:00,7.78458
2024/6/18 9:15,7.17988
2024/6/18 9:30,6.65132
2024/6/18 9:45,6.20607
2024/6/18 10:00,6.03397
2024/6/18 10:15,6.13522
2024/6/18 10:30,6.61916
2024/6/18 10:45,7.37221
2024/6/18 11:00,8.08659
2024/6/18 11:15,8.67113
2024/6/18 11:30,9.17371
2024/6/18 11:45,9.56869
2024/6/18 12:00,10.0645
2024/6/18 12:15,10.8973
2024/6/18 12:30,12.0842
2024/6/18 12:45,13.0767
2024/6/18 13:00,14.1081
2024/6/18 13:15,14.991
2024/6/18 13:30,16.2186
2024/6/18 13:45,17.1726
2024/6/18 14:00,17.999
2024/6/18 14:15,19.0002
2024/6/18 14:30,20.0213
2024/6/18 14:45,20.5099
2024/6/18 15:00,20.9318
2024/6/18 15:15,21.3595
2024/6/18 15:30,21.7288
2024/6/18 15:45,22.1108
2024/6/18 16:00,22.5599
2024/6/18 16:15,23.1676
2024/6/18 16:30,23.8602
2024/6/18 16:45,24.6891
2024/6/18 17:00,25.452
2024/6/18 17:15,25.9072
2024/6/18 17:30,26.0396
2024/6/18 17:45,26.4257
2024/6/18 18:00,26.7784
2024/6/18 18:15,27.2945
2024/6/18 18:30,27.471
2024/6/18 18:45,27.9577
2024/6/18 19:00,28.5214
2024/6/18 19:15,28.9076
2024/6/18 19:30,29.0735
2024/6/18 19:45,29.6112
2024/6/18 20:00,29.9683
2024/6/18 20:15,30.136
2024/6/18 20:30,30.1253
2024/6/18 20:45,29.8862
2024/6/18 21:00,29.5222
2024/6/18 21:15,29.6141
2024/6/18 21:30,29.6136
2024/6/18 21:45,29.4752
2024/6/18 22:00,29.2141
2024/6/18 22:15,28.8746
2024/6/18 22:30,28.4913
2024/6/18 22:45,28.033
2024/6/18 23:00,27.5037
2024/6/18 23:15,26.9342
2024/6/18 23:30,26.2946
2024/6/18 23:45,25.567
2024/6/19 0:00,27.3541
2024/6/19 0:15,27.4083
2024/6/19 0:30,27.4093
2024/6/19 0:45,27.4065
2024/6/19 1:00,26.9603
2024/6/19 1:15,26.7441
2024/6/19 1:30,26.7491
2024/6/19 1:45,26.4923
2024/6/19 2:00,26.295
2024/6/19 2:15,25.9925
2024/6/19 2:30,25.6158
2024/6/19 2:45,25.1929
2024/6/19 3:00,25.2871
2024/6/19 3:15,25.4224
2024/6/19 3:30,25.0837
2024/6/19 3:45,24.8004
2024/6/19 4:00,24.5739
2024/6/19 4:15,24.4119
2024/6/19 4:30,24.3139
2024/6/19 4:45,24.3643
2024/6/19 5:00,24.302
2024/6/19 5:15,24.0088
2024/6/19 5:30,23.9446
2024/6/19 5:45,23.4965
2024/6/19 6:00,23.324
2024/6/19 6:15,23.0241
2024/6/19 6:30,22.6407
2024/6/19 6:45,22.1295
2024/6/19 7:00,21.5497
2024/6/19 7:15,20.906
2024/6/19 7:30,20.2233
2024/6/19 7:45,19.4948
2024/6/19 8:00,18.3173
2024/6/19 8:15,17.2867
2024/6/19 8:30,16.9973
2024/6/19 8:45,16.8052
2024/6/19 9:00,16.6321
2024/6/19 9:15,16.2416
2024/6/19 9:30,15.6672
2024/6/19 9:45,14.8546
2024/6/19 10:00,14.1076
2024/6/19 10:15,13.7799
2024/6/19 10:30,13.3918
2024/6/19 10:45,13.5326
2024/6/19 11:00,13.8341
2024/6/19 11:15,14.0358
2024/6/19 11:30,14.0779
2024/6/19 11:45,14.0666
2024/6/19 12:00,14.0592
2024/6/19 12:15,14.2722
2024/6/19 12:30,14.7072
2024/6/19 12:45,15.4492
2024/6/19 13:00,16.0859
2024/6/19 13:15,16.2409
2024/6/19 13:30,15.8964
2024/6/19 13:45,15.3397
2024/6/19 14:00,14.5756
